Dst Port,Flow Duration,Timestamp,Protocol,Pkt Len Mean,Label
0,115307855,01-03-2018 08:17,0,0.0,1
0,60997457,01-03-2018 08:20,0,0.0,1
67,61149019,01-03-2018 08:17,17,300.0,1
0,60997555,01-03-2018 08:22,0,0.0,1
0,61997503,01-03-2018 08:24,0,0.0,1
0,61997503,01-03-2018 08:26,0,0.0,1
67,92344822,01-03-2018 08:23,17,300.0,1
0,60997542,01-03-2018 08:28,0,0.0,1
0,60997552,01-03-2018 08:30,0,0.0,1
0,60997614,01-03-2018 08:32,0,0.0,1
0,60997547,01-03-2018 08:34,0,0.0,1
67,94865721,01-03-2018 08:29,17,300.0,1
0,60997585,01-03-2018 08:36,0,0.0,1
0,61997523,01-03-2018 08:38,0,0.0,1
0,60997570,01-03-2018 08:40,0,0.0,1
67,90870584,01-03-2018 08:36,17,300.0,1
0,62013106,01-03-2018 08:42,0,0.0,1
0,60997565,01-03-2018 08:44,0,0.0,1
0,61997502,01-03-2018 08:46,0,0.0,1
0,62013129,01-03-2018 08:48,0,0.0,1
67,93011415,01-03-2018 08:43,17,300.0,1
0,60997585,01-03-2018 08:50,0,0.0,1
0,61997505,01-03-2018 08:52,0,0.0,1
0,60997618,01-03-2018 08:54,0,0.0,1
67,95980063,01-03-2018 08:50,17,300.0,1
0,60997607,01-03-2018 08:56,0,0.0,1
0,60997572,01-03-2018 08:58,0,0.0,1
0,60997596,01-03-2018 09:00,0,0.0,1
0,60997556,01-03-2018 09:02,0,0.0,1
67,93339634,01-03-2018 08:57,17,300.0,1
0,61997555,01-03-2018 09:04,0,0.0,1
0,60997584,01-03-2018 09:07,0,0.0,1
0,60997591,01-03-2018 09:09,0,0.0,1
67,96167539,01-03-2018 09:05,17,300.0,1
0,60997571,01-03-2018 09:11,0,0.0,1
0,61997553,01-03-2018 09:13,0,0.0,1
0,152938,01-03-2018 08:46,0,0.0,1
0,61013195,01-03-2018 09:15,0,0.0,1
67,92777105,01-03-2018 09:12,17,300.0,1
0,61997543,01-03-2018 09:17,0,0.0,1
0,60997550,01-03-2018 09:19,0,0.0,1
0,61013170,01-03-2018 09:21,0,0.0,1
0,60997542,01-03-2018 09:23,0,0.0,1
67,93620708,01-03-2018 09:18,17,300.0,1
0,61997521,01-03-2018 09:25,0,0.0,1
0,61013223,01-03-2018 09:27,0,0.0,1
0,60997557,01-03-2018 09:29,0,0.0,1
67,95558168,01-03-2018 09:25,17,300.0,1
0,60997559,01-03-2018 09:31,0,0.0,1
0,61997522,01-03-2018 09:33,0,0.0,1
0,60997528,01-03-2018 09:35,0,0.0,1
0,61997496,01-03-2018 09:37,0,0.0,1
67,91339716,01-03-2018 09:33,17,300.0,1
0,60997597,01-03-2018 09:39,0,0.0,1
0,60997561,01-03-2018 09:41,0,0.0,1
0,61997495,01-03-2018 09:43,0,0.0,1
0,370574,01-03-2018 09:16,0,0.0,1
67,91370920,01-03-2018 09:40,17,300.0,1
0,60997569,01-03-2018 09:45,0,0.0,1
0,61013197,01-03-2018 09:47,0,0.0,1
0,60997551,01-03-2018 09:49,0,0.0,1
0,61997547,01-03-2018 09:51,0,0.0,1
67,94604994,01-03-2018 09:47,17,300.0,1
0,61013204,01-03-2018 09:53,0,0.0,1
0,61997540,01-03-2018 09:55,0,0.0,1
0,60997531,01-03-2018 09:57,0,0.0,1
67,93683370,01-03-2018 09:54,17,300.0,1
0,61013092,01-03-2018 10:00,0,0.0,1
0,60997568,01-03-2018 10:02,0,0.0,1
0,60997540,01-03-2018 10:04,0,0.0,1
67,95027005,01-03-2018 10:01,17,300.0,1
0,61997505,01-03-2018 10:06,0,0.0,1
